z,T_max,T_min
2,376,348
3,346,312
4,284,191
5,323,257
6,349,320
7,285,236
8,298,259
9,305,276
10,261,234
11,235,208
12,255,215
13,299,237
14,306,230
15,317,229
16,305,270
17,289,259
18,312,285
19,310,288
20,346,270
21,308,269
22,349,300
23,345,302
24,375,289
25,272,238
26,247,217
27,290,259
28,306,280
29,200,176
30,303,284
31,289,266
32,278,257
33,262,244
